,Epochs,Neurons,R2,RMSE,MSE,MAPE
0,200,32,0.8345624048360623,7.223357608591836,52.176895,15.012632310390472
1,200,42,0.8339272837460472,7.237209745131029,52.377205,14.797550439834595
2,200,52,0.8276170770114567,7.373422744972258,54.367363,15.261811017990112
3,400,32,0.8246560459992994,7.436479514500129,55.301228,15.349957346916199
4,400,42,0.8282336934093928,7.360223482304913,54.17289,15.40757268667221
5,400,52,0.8157346566345013,7.623314593044254,58.114925,16.5771484375
6,600,32,0.836831691105451,7.17364599763705,51.461197,15.114037692546844
7,600,42,0.8069699658344212,7.802511925802801,60.879192,16.68955236673355
8,600,52,0.8170902635589469,7.59522098061569,57.68738,16.198910772800446
9,800,32,0.8044231891145397,7.853815315408488,61.682415,17.404651641845703
10,800,42,0.8179086388220342,7.578210574581266,57.429276,16.782867908477783
11,800,52,0.8041350616199623,7.859598266585219,61.773285,16.914735734462738
